Pos Office Branch,User,Reviews,Rate,tanggal_review
kantor pos banjarmasin,aditya pratama,lama! barang sudah tiba 10 hari yang lalu tp blm smpai ke alamat padahal pkai pos kilat..,1,2019-08-11
kantor pos banjarmasin,ridhar shalahuddin,"harapannya nanti tempat dan pelayanannya lebih baik
jam 9.47 msih sedikit ptgas yg ada",5,2021-08-11
kantor pos banjarmasin,ningrum 09,"beli materai kaya orang mau minta2, kalau gak ngerti kerjaan cs gak usah kerja. judes nya kaya bukan manusia aja.",1,2021-08-11
kantor pos banjarmasin,muhammad hasan,"sangat lambat dalam pengiriman, padahal cuman dari surabaya ke bjm, lebih 5 hari, hedehhh",2,2019-08-11
kantor pos banjarmasin,arief yuniardi,peyananan kurg bagus ditanya jawabn ny kurg enak didengar...semoga ada perbaikn untuk pelayanan...,1,2023-08-11
kantor pos banjarmasin,m rafii,"mantap ,, kiriman dr pelaihari ke bjm sdh hampir 4hari blm ada kabar 😂 …",1,2020-08-11
kantor pos banjarmasin,akn 87,"saya ga tau baiknya dimana, pengiriman lama, sistem onlinenya blm beres kh keliatannya",1,2019-08-11
kantor pos banjarmasin,muhammad farhan radifan,"kalau bisa sih hari sabtu buka juga, karena kalau hari efektif seperti senin sampai jum'at kan banyak yang sibuk",2,2017-08-11
kantor pos banjarmasin,mutiara86,"terimakasih kantor pos atas pelayanan nya,,,  makin betah di kantor pos sekarang,  adem dan cantik2",4,2019-08-11
kantor pos banjarmasin,rayza rizquina,pelayanan tidak ramah sama sekali,1,2024-09-11
kantor pos banjarmasin,haifa daily,"pengalaman saat mengambil wu pelayanannya cukup bagus ...
follow ig @bakso.buburayam.banjarmasin",5,2019-08-11
kantor pos banjarmasin,fitrya mirza,barang sdh smpai seminggu yang lalu tapi blum ada pengiriman smpai kerumah.,1,2021-08-11
kantor pos banjarmasin,rizki gaiden,parah euy barang udah di spp bjm tpi gk dikirim2 ke alamat saya.,1,2020-08-11
kantor pos banjarmasin,ariel hariri,super lambat!!!! barang sudah diantar kataya 1 hari belom sampe!,1,2017-08-11
kantor pos banjarmasin,mahyudin noor,"tempat mengirim surat, membeli barang, benda pos dan membayar bermacam iuran bulanan rumah tangga",4,2020-08-11
kantor pos banjarmasin,trie noor wulandari,pelayanan nya bagus dan ramah👍👍 …,5,2024-09-11
kantor pos banjarmasin,s k y l i n e,ini transit hub dc 70006 yaa,1,2024-09-11
kantor pos banjarmasin,juwita intan,lama bgt sumpah kapok gak mau lagi dahh pakai pos😭 …,1,2021-08-11
kantor pos banjarmasin,kartika eka h,kalo hari minggu tetap buka sampai sore sampai jam 3an!,5,2018-08-11
kantor pos banjarmasin,andi ramadhan,pelayanan sangat bagus :),5,2024-09-11
kantor pos banjarmasin,muhammad ahwan,pelayanan terbaik,5,2024-09-11
kantor pos banjarmasin,ahmad abbas,kantor pos terbaik,5,2024-09-11
kantor pos banjarmasin,alfian noor,beli materai dulu disini,5,2024-10-11
kantor pos banjarmasin,marwah avm,barang nya tak kunjung datang sangat kecewa asli kecewa,1,2018-08-11
kantor pos banjarmasin,zalsabila,pelayanan sangat cepat,5,2024-09-11
kantor pos banjarmasin,shinta sartono,semakin baik kantorpos banjarmasin,5,2024-09-11
kantor pos banjarmasin,rudi setiawan,pelayanan ramah terima kasih kantor pos banjarmasin,5,2019-08-11
kantor pos banjarmasin,akhmad anwardi,tetap jadi pilihan dari masa ke masa,5,2024-09-11
kantor pos banjarmasin,hair alaska,mas klo ngirim barang ke kalteng mentangai brp,2,2020-08-11
kantor pos banjarmasin,fatchur rahmansyah,pelayanan prima,5,2024-09-11
kantor pos banjarmasin,nur fajri,terlalu ribet persyaratan nya .. lama lama bangkrut kyak nya,1,2020-08-11
kantor pos banjarmasin,akhfa vahrian,pelayanan buruk sekali tidak ada rmahanya,1,2019-08-11
kantor pos banjarmasin,aislie anantama septiawan,bagus rapi dan tersedia kfc dibawahnya,5,2017-08-11
kantor pos banjarmasin,ghina yaumil,pelayanan sangat bagus,5,2024-09-11
kantor pos banjarmasin,jumiati jumiati,👍👍👍 …,5,2024-09-11
kantor pos banjarmasin,khairi pahlevi,"saran, parkiran utk  mobil perlu di tambah",4,2018-08-11
kantor pos banjarmasin,ragamura the real refleksi,knp nomor tlp tdk d cantum kan,1,2021-08-11
kantor pos banjarmasin,hapy kurniawan,ada nomor hp yg kawa dhubungi lah???,5,2019-08-11
kantor pos banjarmasin,taufik hidayat,sangat bagus,5,2024-09-11
kantor pos banjarmasin,nur sri,tellernya cuma 2,3,2020-08-11
kantor pos banjarmasin,akhmad ramadani,pelayanan ramah dan cepat tanggap.,5,2017-08-11
kantor pos banjarmasin,nana,"bagus, pelayanannya ramah",5,2020-08-11
kantor pos banjarmasin,loole yana,prangko tersedia di sini,3,2023-08-11
kantor pos banjarmasin,adny nizomi,kada kawa mengirim hp,3,2016-08-11
kantor pos banjarmasin,jelita azka madina,level 5 bener2 hot!,4,2019-08-11
kantor pos banjarmasin,pakde dono,pelayanan baik ramah,4,2023-08-11
kantor pos banjarmasin,arifin12 arifin,sangat berguna bagi masyarakat,3,2017-08-11
kantor pos banjarmasin,purwa bakti,pelayanannya memuaskan,5,2018-08-11
kantor pos banjarmasin,mie ayam dan bakso sidomulyo,tempat antrian nyaman,5,2019-08-11
kantor pos banjarmasin,fitria rahmah,jelek gabisa baca alamat,1,2022-08-11
kantor pos banjarmasin,lia manuela,pelayanannya lumayan,3,2018-08-11
kantor pos banjarmasin,miftah faqot,pelayanan ramah dan cepat tanggap,4,2017-08-11
kantor pos banjarmasin,syarif muhammad,"lama, respon gk di tanggapi",1,2019-08-11
kantor pos banjarmasin,puji nurhayati,sangat membantu,5,2017-08-11
kantor pos banjarmasin,afian hadrian,parkir mudah,4,2016-08-11
kantor pos banjarmasin,alpian iyan,mantap,5,2019-08-11
kantor pos banjarmasin,francis dalung,sepi,3,2019-08-11
kantor pos banjarmasin,hairanihafidz hafidz,sering singgah kesini,5,2020-08-11
kantor pos banjarmasin,widya ww,"lantai 1 untuk ekspedisi
lantai 2 untuk bayar tagihan, pajak, pembelian materai & stempel stempel",5,2018-08-11
kantor pos banjarmasin,mengenal siapa saja,respon lambat,1,2023-08-11
kantor pos banjarbaru,eko cahyo prabowo,"tempatnya nyaman luas dan rapi, setiap leges selalu kesini, pelayannya juga cepat dan ramah.",4,2025-02-11
kantor pos banjarbaru,surapurna,"sudah banyak berubah lbh baik. tempat nyaman dan pelayanan ramah. buat yang mau berurusan ke kantorpos ingat masuk langsung ambil nomer antrian jgn isi form main hp santai2 nanti antriannya jauh🤣.

kalo bisa free parkir sih..👍",5,2022-08-11
kantor pos banjarbaru,life with thepo,"lokasi sangat strategis dan gampang terlihat dari jalan raya,namun parkir sedikit sulit jika datang sudah agak siangan.
efek pandemi pelayanan jadi sedikit terbatas dan berbaur dengan pelayanan lainnya sementara petugasnya hanya beberapa saja yang terlihat dibelakang meja dan jika hendak mengirim barang lebih baik sedikit lebih pagi saja menghindari antrian yang lumayan panjang dan lama.
parkir tidak gratis",4,2021-08-11
kantor pos banjarbaru,siti rahmahamd,"tempatnya luas, lumayan bersih, prosesnya juga lumayan mudah, tapi pelayanan biasa saja.

kalau masuk langsung ambil antrian ya.
oiya untuk parkir masih bayar 2.000",5,2022-08-11
kantor pos banjarbaru,gagan putra,"setiap kesini harus bayar parkir, apakah parkir nya ilegal atau legal? krn klo tidak salah menurut peraturan, parkir di kantor pemerintah seharusnya tidak dikenakan biaya...",3,2025-03-11
kantor pos banjarbaru,jaya hasiholan limbong,"ada 6 meja yang tersedia, tapi hanya ada satu yang melayani, sementara antriannya banyak.

yang mengakibatkan pelayanan sangat lama bagi saya.",1,2024-08-11
kantor pos banjarbaru,ahmad ghofari,"saya heran dengan rating rendah di lokasi ini. saya adalah pengguna layanan pos indonesia seminggu sekali untuk keperluan kantor. kp banjarbaru menurut saya pelayanannya sangat baik. buka hingga 22.00. pengiriman selalu cepat, dibanding dengan ekspidisi swasta. pelayanan cenderung cepat, pembayaran mudah (bisa dompet digital)",5,2024-11-11
kantor pos banjarbaru,sari widyawati,"tempatnya tertata rapi .cuman pelayanannya lambat, sebaiknya tambah karyawan agar lebih cepat krna yg jga biasa ada 2 orng bhkan 1 orng, sedangkan jumlah antrian selalu banyak",3,2025-06-11
kantor pos banjarbaru,miss gothica,tolong kode etiknyaaa sebagai karyawan ke nasabah! ada salah satu karyawan laki2 berkacamata terlalu kepo dengan keuangan nasabah lalu nasabah merasa tidak nyaman dan terkesan tidak sopan.. ini soal pelayanan umum bukan pertemanan! tolong lebih profesional lagi dalam melayani !!!,2,2024-10-11
kantor pos banjarbaru,yudith trianggono,loket yang melayani hanya 1 tapi pelayanannya ramah.,4,2023-08-11
kantor pos banjarbaru,fangi0207,"tempat rapi,bersih,sejuk dan nyaman,pelayanan ramah dan memuaskan.tiap awal bulan pastinya selalu penuh,jd dihindari deh urusan pas taggl segitu",4,2020-08-11
kantor pos banjarbaru,miss tixxx,langganan bayar speddy & pdam pasti disini ✅ ( pelayanannya tingkatkan lagi ya soalnya lamban ),3,2023-08-11
kantor pos banjarbaru,ria agustina,"pelayanan cepat,, sangat mudah untuk penarikan westren union,, syaratnya hanya fc ktp dan ktp asli,,",5,2022-08-11
kantor pos banjarbaru,amirudin sip,kawa bayar ledeng disini ...buka sampai jam 10 malam jar..khusus bjb..like 👍👍 …,5,2023-08-11
kantor pos banjarbaru,muhammad khairullah,"pelayanan bagus ,
ambil uang dalam jumlah besar slalu tersedia",5,2017-08-11
kantor pos banjarbaru,ananda fitrian anshary,pos indonesia jasa ekspedisi terbaik di indonesia. top,5,2025-06-11
kantor pos banjarbaru,kholidd mtp1,kntor pos banjarbaru besok buka kh,2,2025-07-11
kantor pos banjarbaru,hardi saputra,"sumpah pelayanan ga ramah bnget ga ada senyum 2 nya orng nanya aja jawab x pda ketus, kalau ada urusan d stu mnding ke kntor pos lain aja dah atau batlin aja sklian",1,2024-08-11
kantor pos banjarbaru,rr dania,"tiap malam ada nasi goreng gerobakan tapi makan nya bisa lesehan disediakan tikar, letaknya didepan kantor pos besar,dekat murjani , dibbanjarbaru🫶🏻 rasanya enakk,14k porsi banyak pake telur dan kerupukk 🥰 tempatnya cocok buat nongkii nongki sederhana ala ala lesehan gituu.... …",5,2023-08-11
kantor pos banjarbaru,indra pranata,"kecewa sama kurirnya, surat tidak di terima sama penerima, bahkan foto di bukti pintu saja, sudah tau ada banyak motor depan rumah dan orang didalam rumah ada orangnya, tetapi kurir malah naroh paket surat cuman di taroh depan pintu saja, lain kali kalo ngantar paket langsung serahkan ke orang yang ada didalam rumah mas, jangan di foto surat tadi di taroh di pintu, takutnya hilang masss",1,2023-08-11
kantor pos banjarbaru,prasojo sayekti,"tempat bersih, rapi dan nyaman, pelayanan ramah, ada no antrian dan beberapa petugas di loket sehingga apabila nasabah cukup banyak tidak perlu menunggu terlalu lama. petugas parkir juga ramah dan siap menjaga kendaraan selama kita antri
buka pelayanan dari jam 08.00 - 21.00 wita, untuk jam istirahat ada 2 yaitu 12.00 - 13.30 (siang) 18.00 - 19.00 (sore)",5,2019-08-11
kantor pos banjarbaru,abi yazid busthomi,"pelayanan buruk, antrian panjang. loket ada 6 yang buka cuman 1",1,2024-08-11
kantor pos banjarbaru,ayudesta wardaningrum,"saya gak tau lagi harus gimana dgn kantor pos disini ya. paket aku kirim menggunakan oneday service yang layanannya 24 jm doang, sudah ada di kantor sejak tgl 18 januari, tapi sampai sekarang tgl 28 januari masih belum dikirim. parah sumpah. gk bisa berkata2 lagi sama pos disini.",1,2020-08-11
kantor pos banjarbaru,adventure camp,terkejut kirim ke surabaya 1 hari sampai..pdahal pake kilat khusus...petugasnya humble,5,2024-08-11
kantor pos banjarbaru,rangga pratama,"mungkin kalau kirim barang atau berkas masih okay ya. tapi kalau kirim kartu pos, saya tidak merekomendasikan mengirimkannya melalui pos indonesia. soalnya gak nyampe² entah nyangkut kmn😄 …",3,2023-08-11
kantor pos banjarbaru,huda,saya lagi ada urusan untuk legalisir kantor pos bermaterai,5,2020-08-11
kantor pos banjarbaru,utari ninghadiyati,kantor pos banjarbaru berada dj jalan panglima batur. tepatnya di samping kantor samsat. kantor pos ini melayani berbagai keperluan mulai dari pengiriman barang secara pribadi maupun dari toko online. juga untuk pembagian blt atau pembayaran lainnya. pelayanan di kantor pos sangat mudah. jam operasional pun berlaku pada hari minggu.,4,2021-08-11
kantor pos banjarbaru,amang shadau,ada menyediakan pelayanan kredit buat pensiunan kh,2,2024-10-11
kantor pos banjarbaru,adi prasetia,pelayanan yg ramah,5,2024-12-11
kantor pos banjarbaru,yie srisa,"pelayanannya cepat, ruang tunggunya cukup nyaman,tempat parkirnya lumayan luas",4,2022-08-11
kantor pos banjarbaru,luth “luthfurrahman” johari,yang bikin males parkirnya bayar...,4,2022-08-11
kantor pos banjarbaru,hamdan syarif,"gedung boleh lebih rapi, paket 1 hari nyampek ,kok g ada kabarnya, tracking juga ga jelas",2,2019-08-11
kantor pos banjarbaru,daniel dwi kurniawan,"pos juara, pelayanannya sangat ramah, handak hari apapun buka tarus",5,2024-08-11
kantor pos banjarbaru,noona yuna,"ktanya buka dri jam 8 pagi smpe jam 4 sore, ditelp berulang2 kali kok gak ada yg angkat hmmmmm",1,2018-08-11
kantor pos banjarbaru,noor hikmah,pelayanan cuma 1 loket,1,2024-11-11
kantor pos banjarbaru,rony mulyan,"- tempat lumayan luas,  nyaman
- customer service nya lumayan
banyak dan ramah",5,2018-08-11
kantor pos banjarbaru,shalik farzana,pos buruk tak pas janji  bicara ya......  gaji tinggi tpi kualitas jelek,1,2019-08-11
kantor pos banjarbaru,lay herman,"satpam nya no toleransi, mati bpatak sorang aja sampean pak",1,2020-08-11
kantor pos banjarbaru,jeruk manis,kantor pos banjarbaru,5,2024-08-11
kantor pos banjarbaru,refaii sastra29,pelayanan nya cepat mba kasir nya cantik cuy 😂 …,5,2019-08-11
kantor pos banjarbaru,rudy ucil setiawan,terbaik,5,2025-01-11
kantor pos banjarbaru,aaa sss,pelayanan bagus. kalo tgl muda penuh...,5,2017-08-11
kantor pos banjarbaru,eka purnamasari,pelayanan cepat mudah,5,2024-08-11
kantor pos banjarbaru,muhammad rizwar maulana,pelayanannya bagus dan cepat,5,2024-08-11
kantor pos banjarbaru,andhika noor aji krisna,satpamnya kalo ngantuk disuruh pulang aja istirahat,3,2019-08-11
kantor pos banjarbaru,meilyft,"pegawainya ramah semua, weekend juga tetap buka",5,2020-08-11
kantor pos banjarbaru,iis permata sari,"cs nya ngapain aja, ditelpon g pernah dijawab",2,2020-08-11
kantor pos banjarbaru,gusti rhf,tidak perlu mengantri lama dengan parkiran luas,4,2017-08-11
kantor pos banjarbaru,nunadi rahman,pelayanan cs nya kada sopan,1,2022-08-11
kantor pos banjarbaru,salamah salamah,pelayanan lambat,3,2023-08-11
kantor pos banjarbaru,hendra wirawan,pelayanan cepat..,5,2023-08-11
kantor pos banjarbaru,chika penelopez,parkir murah . pelayanan cepat dan ramah .,5,2018-08-11
kantor pos banjarbaru,patria peter,"layanan bagus, tempat bersih",5,2021-08-11
kantor pos banjarbaru,pram muhammad34,custumer service kurang ramah,1,2023-08-11
kantor pos banjarbaru,mahfu hadi,dari dulu sudah pakai pos indoseia 👍 …,4,2019-08-11
kantor pos banjarbaru,husni mubarak,sulit banget dihubungi.  cs nya ngapain?,1,2018-08-11
kantor pos banjarbaru,nasrullah,pelayanan baik dan ramah,5,2020-08-11
kantor pos banjarbaru,lokalarea ari3,pelayanan bgus,5,2018-08-11
kantor pos banjarbaru,halimatus sa’diah,puncak tema alat komunikasi,5,2018-08-11
kantor pos banjarbaru,mimoth moranica,pelayanan sangat baik,4,2018-08-11
kantor pos banjarbaru,muhammad huzairi,padat dan sibuk,3,2020-08-11
kantor pos banjarbaru,siti andalika,👍 …,5,2020-08-11
kantor pos banjarbaru,kusno zain,ayoo ke kantor pos..,5,2022-08-11
kantor pos banjarbaru,abdul gani,bagus... dan ramah..,5,2017-08-11
kantor pos banjarbaru,the small ben,cukup modern... 👍 …,5,2018-08-11
kantor pos banjarbaru,muhammad riski saputra,ini sub pa banjarbaru kah,2,2020-08-11
kantor pos banjarbaru,helmi banjarbaru,bermanfaat,3,2017-08-11
kantor pos banjarbaru,tri arum pandan sari,pelayanan pt pos indonesia di daerah banjarbar sangat baik....bisa kami undang untuk kelas induksi anak tk. dua jempol untuk pt pos indonesia,5,2017-08-11
kantor pos banjarbaru,wazidi wz,pelana,5,2020-08-11
kantor pos banjarbaru,herlangga sp,respon lambat,2,2022-08-11
kantor pos banjarbaru,rara nadira,menyesap,5,2019-08-11
kantor pos batulicin,ferdy akbar,"ngirim dokumen ke jawa timur, kata kasir bisa makan waktu estimasi 4-5 harian, pas di cek ternyata 3 hari dokumen sudah sampai lebih cepat, top",5,2025-07-11
kantor pos batulicin,mustafa subhan,"paket 5 hari status dalam pengantaran tarus, jauh banar kh lwan plajau? kd jelas kantor pos nih",1,2025-06-11
kantor pos batulicin,yoehenes arde pranata,"dulu sebelum buka rekening bank, tempat ini menjadi destinasi untuk kirim uang ke sanak saudara dengan biaya yang relatif terjangkau. untuk saat ini kantor pos selalu melakukan oerbaikan sistem pelayanan, dengan membuka layanan pembayaran untuk angsuran rumah, kendaraan, dll.
terakhir kesini, pelayanan ramah, area parkir luas, dan tidak begitu ramai, jadi pelayanan sangat cepat.",4,2019-08-11
kantor pos batulicin,mahda maria,"paket status pengantaran tp 2 hr tidak sampai""",1,2025-07-28
kantor pos batulicin,karsa yuda,area parkir lumayan tertib dan pelayanan nya bagus,5,2023-08-11
kantor pos batulicin,tenma nomer02,tau knp pos kalah saing sama jnt dll? y karna memang pelayanannya yg jelek. saya tau pos itu bumn mau merugi juga pegawainya tetep d gaji tpi tolong yg bener dong kalo kerja. bumn jg masih jalan karna meski rugi y karna suntikan dana dri pemerintah. dana pemerintah sebagian besar jg dari pajak rakyat. ga merasa bersalah kah kalo kerjanya gini?,1,2024-08-11
kantor pos batulicin,febrianty,"pelayanannya sudah bagus, lancar2 aja, tpi yg kurang nyaman, ada tukang parkir, padahal markir dsitu ndak sampai 5 menit, ndak d bantuin juga, tapi tetap dsuruh bayar parkir,",3,2024-08-11
kantor pos batulicin,muhammad nur widhiyanto,"pelayanan berserta kurirnya tidak amanah, saya bayar paket ekspres yg biayanya 2 kali lipat lebih mahal karena isinya adalah makanan.. katanya sehari sudah sampai ke alamat tujuan, tapi sampai detik ini paket belum diantar ke alamat tujuan pdhal sudah 4 hari, serasa kirim ke luar pulau padahal ini hanya beda kecamatan saja dan masih satu kabupaten. tolong dipertanggungjawabkan apa yang sudah diomong.. karena omongan itu amanah jika tidak ditepati akan berimbas ke diri sendiri.",1,2023-08-11
kantor pos batulicin,andi sinta,"kok paket sdah 3 hri blm di antar2 padahal itu penting bnget,mau chat no wanya jga tdk ada,kenapa pketqw gagal antar terus..klau ada apa2 wa dong kan ada no wa tertera😭 …",2,2023-08-11
kantor pos batulicin,hd official,"sudah selayaknya bumn pt. pos indonesia di tutup, karena manajemen perusahaannya kurang baik, jika terus terusan pelayanannya buruk dan merugikan negara lebih baik ditutup sja toh masih banyak jasa pengiriman lain seperti jnt, jne, secepat dll.",1,2022-08-11
kantor pos batulicin,almahyra sherin,"kecewa bget sama pos,paket org main buka aja dan ada sebagian brang di ambil jga...",1,2024-08-11
kantor pos batulicin,keo com,"yang telpon direktur  pos aja di sepelekan,, tidak diangkat. gimana pos mau maju pelayanan saja seperti itu . gaji jaspro aja yang minta naik naik"" .. tolong di sampaikan sama pimpinan cabang kalian untuk mengangkat telpon  salam dari direktur logistik  hr adi",1,2021-08-11
kantor pos batulicin,kadek sarini,"kalau barang datang, tolong di telp no hp yang tertera di paket,,, sudah beberapa kali barang saya datang, jangankan di antar. kabar pun ga ada.",2,2020-08-11
kantor pos batulicin,mbah pat,udah smp batu licin dari 4 hari lalu ngga jelas mau diantar apa harus diambil sendiri. padahal alamat di batulicin juga. itu kan ada nomor wa di paket ngga bisa pakai wa apa?,1,2021-08-11
kantor pos batulicin,galih wahyu,"kak tolong kalo barang datang mohon pemilik barang dikabari, ulun 2 kali barang ada di pos batulicin enggak dikabari dan harus langsung ke kantor pos sedangkan rumah ulun jauh, mohon  tanggapannya 🙏 …",4,2020-08-11
kantor pos batulicin,endangsri hartati,"paket stuk sedang diantar menuju alamat, 2 hari kd diantar²",2,2023-08-11
kantor pos batulicin,calderock gaming,jam buka dan tutup tidak terjadwal dengan baik,1,2025-01-11
kantor pos batulicin,batu licin,"kacau,byk pungli,ngirim paket btl-makassar 95 ribu,gk beres ni pos",1,2020-08-11
kantor pos batulicin,didin qwerty,"pelayanan kasar, kayak ada masalah dirumah dibawa kekantor",1,2022-08-11
kantor pos batulicin,sendz diyan,"mudah""n ada yg respon ketika kami ingin ada pengaduan",1,2023-08-11
kantor pos batulicin,kepy spil,"penuh karyawan tidak profesional dalam bekerja, ciri khas penduduk batulicin",1,2022-08-11
kantor pos batulicin,zull production,hari minggu buka dari jam 8.00 sampai 12.00,5,2019-08-11
kantor pos batulicin,yuhalil maulana,klo ada kendala telpon dong jngn diam,1,2020-08-11
kantor pos batulicin,nicolana surya nirlanda,lambat,1,2025-02-11
kantor pos batulicin,safarullah safar,pa boleh tau berapa nomor kode posnya pa,5,2021-08-11
kantor pos batulicin,putri toledor,kk kode pos nya apa,5,2020-08-11
kantor pos batulicin,muhammad yuliadi rahman,buka pagi sampai sore,4,2023-08-11
kantor pos batulicin,valiant shan,minta no.wa dong ?,5,2019-08-11
kantor pos batulicin,nabil pradana,"pelayanannya ramah, bagus.",5,2018-08-11
kantor pos batulicin,andreas krispiadi,mantap..,4,2022-08-11
kantor pos batulicin,imam sugianto,pelayanan sangat bagus,5,2019-08-11
kantor pos batulicin,fredi indra saputra,hari minggu buka gak,5,2019-08-11
kantor pos batulicin,judin loop,oke,5,2017-08-11
kantor pos amuntai,fadil rabbani,"pengiriman cepat,kuri ramah baik,petugas loketnya juga ramah sopan melayani konsumen mantap",5,2025-02-11
kantor pos amuntai,rizky arisandy. g,pelayanan ramah dan menjadi tempat terlengkap untuk bertransaksi,5,2025-02-11
kantor pos amuntai,rosita ta,"kurir yang antar paket kerumah ramah dan sll respon cpt jk bertanya tntg paket,atau ad masalah pd alamat paket yg keliru... terima kasih 👍 …",5,2024-08-11
kantor pos amuntai,irene sesbania,mantap paket shopee saya sehari sampai👍🏻👍🏻terima kasih pos indonesia sudah memperbaiki layanan antarannya …,5,2024-08-11
kantor pos amuntai,muhammad baikhaki rmc,pelayanan yg memuaskan dan sangat membantu warga amuntai baik dari segi pengiriman ataupun pembayaran dsb...,5,2023-08-11
kantor pos amuntai,ramadhani,"pelayanan bagus, pengiriman paket cepet sampai",5,2024-08-11
kantor pos amuntai,maulida a'yuna,"pelayanan nya ramah, adem dalam nya. bisa beli materai dengan harga murah juga",5,2024-08-11
kantor pos amuntai,syarifudin,"pelayanan  cepat, tempatnya bersih. halaman parkir luas",5,2023-08-11
kantor pos amuntai,ayulita arsyad,kiriman cepat sampai.. pengantar ny ramah2..,5,2024-08-11
kantor pos amuntai,مناجاة مناجاة,"pelayanannya ramah, tempatnya bersih dan nyaman, parkirnya aman",5,2023-08-11
kantor pos amuntai,roos kesumadewi,tempatnya bersih dan pelayanan nya bagus,5,2024-08-11
kantor pos amuntai,aditiya fauzan,👍 …,4,2023-08-11
kantor pos amuntai,nurullah ihsan,mantap,5,2023-08-11
kantorpos cabang buntok,josh biley,"mantap!!
kantor pos satu-satunya yg ada di buntok. biasanya aku ngirim barang dari jogja ke buntok.
dan ngambilnya di kantor pos buntok.
karena kalau ke lokasi alamat aku agak masuk pinggiran desa agak susah. yah langsung ngambil dikantor pos aja. sebelum ambil barang, mesti aku cek dulu pake nomor resi 11 digit buat mastiin barang udh sampe ampa belom. pokoknya good luck kantor pos buntok.",5,2019-08-11
kantorpos cabang buntok,abhang u,bang kode pos x brpa ya pos buntok ini .....,1,2021-08-11
kantorpos cabang buntok,tri cahyo kurniawan,"good service, hari minggu tetap buka",5,2018-08-11
kantorpos cabang buntok,happy grace merllenne,pelayanan luar biasa memuaskan...,5,2023-08-11
kantorpos cabang buntok,yustinus feriady,kantor pos,4,2021-08-11
kantorpos samarinda,aldo kurniawan,"paket nyasar karna salah kode pos, sampai kantor pos langsung ketemu petugas disuruh besok datang untuk diambil karena barang masih di kantor pos cabang, keesokan harinya diantar kurir jadi ga perlu datang ke kantor, terimakasih buat petugas dan kurirnya 🙏 …",5,2025-07-11
kantorpos samarinda,nara si bolang jawa,"paket gak di antar2 alasan numpuk lah , apa iya . keknya skrg yg pake pos juga sepi apalagi area kota samarinda . mending pake jnt jne jelas kurir nya mau ambil paket juga enak kantor buka terus weekend pun . tanpa biaya parkir lagi wkwkw 🤣

chat kapan di antar malah disuruh sabar dan blm tahu kapan bs di antar .
parah ih pdhl urgent bgt , ngapain bayar mahal klo ujung nya gak di antar , mau di ambil jg kantor nya jauh .

gmn mau dpt simpati dari masyarakat klo pelayanan aja buruk gini , perusahaan bumn kok payah gini 🙄",1,2025-03-11
kantorpos samarinda,murdani renault,"pelayanan kurir pos kargo parah masa dr surabaya
dr tanggal 17 di tanggal 21 baru di berangkatkan ke banjarmasin,trus sampe banjarmasin baru tgl 25 dan sampai saat ini di tgl 27 februari saya belum di terima  pesanan di samarinda.
jera jera jera pke pos",1,2025-03-11
kantorpos samarinda,ronny hidayat,"ada tukang parkirnya, padahal bumn, harusnya gratis parkir, masa kalah sama indomaret.",1,2025-03-11
kantorpos samarinda,sulthon fathoni,"paket sudah 3 kali statusnya tidak diantar karena diluar batas antar2 terjadwal.
tidak ada jg yg hubungi ke telpon penerima.",1,2025-02-11
kantorpos samarinda,melinda yunira pusung,"brg smpe 3 hari ga di antar""",1,2025-07-11
kantorpos samarinda,ahmad nurrofiq,"pelayanan kantor pos saat ini sangat baik, mampu bersaing dengan jasa pwngiriman yang lain. jika anda berbicara harga, anda akan mendapatkan pilihan harga pengiriman yang sangat murah jika menggunakan jasa pos indonesia untuk mengirimkan barang anda.",4,2017-08-11
kantorpos samarinda,azidah,"pelayanan ramah, pegawainya baikkk pollll 😁 …",5,2025-06-11
kantorpos samarinda,bams bams,"keren kantor posnya udah di renov ✔
di parkirannya lagi ada jasa service, ganti oli dll dari astra ✔lumayan murah dari pada ke bengkel ga jelas.",5,2018-08-11
kantorpos samarinda,andi syamsu alam,"pelayanan publik kok, jam 8.00 wita loketnya baru buka, itu pun baru 2 org pegawai yg turun. malu donk dengan kantor pelayanan publik yg lain.",1,2023-08-11
kantorpos samarinda,gt phoncell,"paket tidak diantar
kasih keterangan palsu
padahal ada nomor telfon peneriman nya tapi tidak dihubungi
kita para pedagang kecil merasa sangat dirugikan dengan ongkir mahal harusnya paketnya harus sampai
kalau orang nya nolak sih saya masih bisa terima
tapi orangnya nanyain paketnya terus.
udah mingguan nggak diantar antar bahkan nggak nelfon",1,2024-10-11
kantorpos samarinda,ramadhan ikaskar,semoga menjadi kebanggaan masyarakat indonesia 😊 …,5,2025-02-11
kantorpos samarinda,novy 3ifana,lama sekali tidak kesini bagus sekali pelayanan sekarsng,5,2025-07-28
kantorpos samarinda,novie andreani,"kan pekerja ya, perusahaan pun punya sop apalagi utk pelayanan publik harus ramah. yg jaga loket semua ga ada ramah ramahnya yaampun. minimal senyum kek🙏🏻 ditingkatkan lagi ya utk pelayanannya bintang 1 …",1,2024-10-11
kantorpos samarinda,fery ardi fery,"pelayan nya kurang ramah mbak nya, masa bentak nenek² yg mau nanya soal narik duit aja kn aneh",1,2025-01-11
