user,rate,reviews,tanggal reviews,aplikasi
Pengguna Google,5,Sangat membantu,2024-02-18 23:44:12,PosAja
Pengguna Google,5,Semoga pelayanan nya bagus,2024-02-17 10:38:09,PosAja
Pengguna Google,1,aplikasi terbodoh sepanjang sejarah peradapan,2024-02-17 09:55:07,PosAja
Pengguna Google,5,Cepat dan profesionál,2024-02-16 22:04:15,PosAja
Pengguna Google,5,mantab dn akurat,2024-02-15 07:50:15,PosAja
Pengguna Google,1,Paket di terima yang bersangkutan. Giliran di tanya yg bersangkutan blm pernah nerima.. Ini bagai mna pas di telpon call center bilang nya sudah sama anak kecil. Maaf ya hey ibu saya udah tua ngapain kasih ke anak kecil sumpah paket saya sampe skrg blm ada ntah di kasih anak kecil yg mna. Mana minta bukti harus ke email sedangkan email lama blz nya keburu ilang paket saya bagaimna ini pos indonesia tanggung jawab nya,2024-02-13 23:05:44,PosAja
Pengguna Google,1,"Aplikasi aneh , mau daftar aja susah",2024-02-12 21:06:31,PosAja
Pengguna Google,5,Fast respon..kurir amanah dan cepat sampai,2024-02-12 20:05:30,PosAja
Pengguna Google,5,Ok....,2024-02-10 14:39:31,PosAja
Pengguna Google,4,sangat baik semoga kedepanya amanah,2024-02-10 01:42:01,PosAja
Pengguna Google,5,Sy tdk bisa gunakan poin dari posaja...2 tahun lalu hangus tdk terpakai....tdk jelas Kita pickup malah tempat tdk tersedia...lucu,2024-02-09 16:04:13,PosAja
Pengguna Google,5,Selamat sore om mohon maaf sudah 1 bulan ini aplikasi pos aja tidak bisa buat kirim paket terima kasih,2024-02-09 15:51:48,PosAja
Pengguna Google,1,sya masuk berkali kali dg kode otp .... balasan tidak valid .... tolong perbaiki ...saya kasih bintang 1 aj ...👎,2024-02-07 08:34:15,PosAja
Pengguna Google,5,Teuslah menjadi yang terlama terbaik terdepan berpengalaman dan menjadi yang no.1 di indonesia,2024-02-06 16:01:46,PosAja
Pengguna Google,5,Top sekali di tingkatkan terus performanya,2024-02-05 21:33:52,PosAja
Pengguna Google,1,Gajelas status pengiriman jangan pake pos kalo beli online,2024-02-05 21:10:18,PosAja
Pengguna Google,1,"Gajelas Sumpah... Buat pengiriman tapi tiba tiba di batalkan sepihak... trus ongkos udah dibayar dan gabalik, udh coba komplen by email tapi diminta datang ke pos terdekat, orang tujuan gunain aplikasi supaya mempermudah, jadi ga perlu ke pos langsung karna pakai jasa pickup, ini malah mempersulit.",2024-02-05 12:13:21,PosAja
Pengguna Google,1,Tidak jelas,2024-02-04 22:55:13,PosAja
Pengguna Google,5,😘😘😘,2024-02-04 12:47:18,PosAja
Pengguna Google,3,"Untuk penggunaan poin pos aja masih belum bisa, tolong segera di perbaiki",2024-02-04 12:16:52,PosAja
Pengguna Google,5,Pengiriman lumayan cepat,2024-02-02 23:38:02,PosAja
Pengguna Google,1,"Kenapa nomor resi pengiriman dari samsat dinyatakan tidak ditemukan ketika menggunakan aplikasi, sedangkan di website malah malah terlacak/tracking berjalan",2024-02-02 16:05:13,PosAja
Pengguna Google,5,Alhamdulillaah...🤲bagus,2024-02-02 07:42:44,PosAja
Pengguna Google,5,pos aja memang sangat membantu banet,2024-02-01 17:09:05,PosAja
Pengguna Google,1,Pengiriman nya lelet banget,2024-02-01 13:27:34,PosAja
Pengguna Google,5,Mantap.. walau kadang loading,2024-01-31 22:34:49,PosAja
Pengguna Google,5,Mempermudah,2024-01-30 18:59:08,PosAja
Pengguna Google,5,untuk sementara sangat puas,2024-01-30 09:39:41,PosAja
Pengguna Google,4,Ok,2024-01-30 04:57:37,PosAja
Pengguna Google,5,Ok bagus,2024-01-27 20:24:10,PosAja
Pengguna Google,3,👍😊,2024-01-27 17:33:39,PosAja
Pengguna Google,5,Membantu,2024-01-27 15:29:08,PosAja
Pengguna Google,5,Mantap,2024-01-27 12:29:41,PosAja
Pengguna Google,5,Mantap,2024-01-26 21:10:03,PosAja
Pengguna Google,1,"Aplikasi teraneh yg aku punya, awalnya aku mau input cod customer gagal terus dan muncul bacaan (perbarui aplikasi) Lanjut aku buka apps untuk perbarui tapi gak ada update karena mmg udh aplikasi terbaru, karena ttp gak bisa lalu aku uninstall aplikasinya terus aku install ulang, eh malah gak bisa dong,coba daftar gak bisa muncul bacaan suruh pulihkan akun, setelah dipulihkan ttp gak bisa muncul bacaan no tlp dan email tidak dikenal, lah terus gimana dengan akunku yang sudah terdaftar?Hilang gt?",2024-01-26 09:22:15,PosAja
Pengguna Google,5,"Mantaap, efesien dlm pengerjajaanNya..",2024-01-23 13:57:34,PosAja
Pengguna Google,5,Terpercaya,2024-01-23 13:46:21,PosAja
Pengguna Google,3,Bintang 3 aja dulu Agar trus berbenah Karna poin ga bisa d gunakan.alamat faforit ga bisa d edit. kode boking shrusnya otomtis lngsung jd resi biar bisa lngsung lacak pngiriman Trimakasih,2024-01-22 16:49:43,PosAja
Pengguna Google,5,Tolong ditambah fitur kargo cod. Biar tambah sip,2024-01-22 13:01:02,PosAja
Pengguna Google,5,Aplikasi sangat mendukung 100%,2024-01-22 10:51:31,PosAja
Pengguna Google,1,App bodong,2024-01-22 10:44:46,PosAja
Pengguna Google,2,"Kenapa sy sebagai pengguna baru tdk bisa daftar dgn nomor HP yg aktif, justru mlh pilihan nya pulihkan akun! Sementara sy blm pernah buat akus pos di HP ini selama beli. Tolong saran dan penjelasan nya.",2024-01-22 01:58:25,PosAja
Pengguna Google,4,Gak bisa cek resi,2024-01-20 22:06:02,PosAja
Pengguna Google,5,"Untuk Aplikasinya, Simple, Keren Dan Mudah digunakan, Saya sangat Terbantu menggunakannya tapi saya masih kesulitan untuk masukan No Rekening Akun Giro itu caranya gimana ya, mohon dijawab, thanks ya",2024-01-19 21:22:08,PosAja
Pengguna Google,1,Aplikasi ribet. Mau cod kq ribet amat sih instal pos aja. Trus rupanya disuruh instal LG pospay. Sudah aktivin. Endingnya gagal cod dinonaktifkan. Sekelas BUMN kualitasnya bintang 1 hadeh,2024-01-19 14:37:00,PosAja
Pengguna Google,5,pos aja bagus,2024-01-19 10:56:29,PosAja
Pengguna Google,4,Sangat membantu masyarakat dalam pengiriman surat dan barang2 penting,2024-01-19 08:15:01,PosAja
Pengguna Google,5,Mantap Pos Indonesia semakin maju,2024-01-18 10:56:54,PosAja
Pengguna Google,5,mantul,2024-01-18 09:29:43,PosAja
Pengguna Google,1,"jelek, error",2024-01-18 06:38:36,PosAja
Pengguna Google,5,bagus,2024-01-16 20:08:22,PosAja
Pengguna Google,5,Coba dulu dgn star 5. Semoga bagus layanannya,2024-01-16 12:07:39,PosAja
Pengguna Google,5,transaksi mudah cukup dr aplikasi,2024-01-16 11:14:15,PosAja
Pengguna Google,5,Berharap bisa masuk layanan kurir ECommerce,2024-01-15 23:47:21,PosAja
Pengguna Google,5,Mantap,2024-01-14 11:16:54,PosAja
Pengguna Google,5,Good job,2024-01-13 21:54:29,PosAja
Pengguna Google,5,Ok,2024-01-13 11:56:50,PosAja
Pengguna Google,5,makasih,2024-01-12 18:14:06,PosAja
Pengguna Google,1,Kenapa saat kirim COD kita harus bayar ongkir dulu. Kata petugas nanti saldo tidak terpotong ongkir. Tapi nyatanya transaksi saya yang masuk hanya hasil penjualan,2024-01-12 17:11:48,PosAja
Pengguna Google,5,😼👍,2024-01-12 10:13:50,PosAja
Pengguna Google,5,OK,2024-01-11 00:00:52,PosAja
Pengguna Google,5,Sangat membantu sekali dalam proses pengiriman barang..,2024-01-10 12:15:12,PosAja
Pengguna Google,5,"Terima kasih Pos Indonesia. Suka banget pelayanannya. Ada keluhan langsung ditindaklanjuti, meskipun lewat live chat tapi penanganannya cepat. Terima kasih, semoga tetap dipertahankan kinerjanya.",2024-01-09 17:33:43,PosAja
Pengguna Google,1,"Pake pos jangan pake nexday .sama aja..nexday,sameday..kirim nya lama ..mending reguler..dan lebih baik pake expedisi lain .",2024-01-09 14:28:38,PosAja
Pengguna Google,1,"Aplikasi paling gak niat banget, buat apa bikin aplikasi kalo mau laporan masih harus ke website goggle dan yg lainya, ngelag banget adminya slow respon!",2024-01-09 01:00:43,PosAja
Pengguna Google,5,Memuaskan,2024-01-08 14:39:50,PosAja
Pengguna Google,5,Aplikasi Simpel,2024-01-08 09:00:09,PosAja
Pengguna Google,5,Alhamdulillah,2024-01-08 08:42:50,PosAja
Pengguna Google,2,"Kenapa kalau mau pake pos COD mesti download 2 aplikasi sih? Ngabisin memory HP aja. Kenapa ga dibuat ringkas,download 1 aplikasi untuk daftar,tracking dan cek saldo tarik dana. Sebenarnya kalau cust sy g tinggal di pedalaman sy ga akan mau pake pos COD menuhin memory HP doang mesti download 2 apk 😮‍💨😪",2024-01-07 22:37:30,PosAja
Pengguna Google,5,Oke,2024-01-07 19:39:07,PosAja
Pengguna Google,5,"the best of expedition,",2024-01-07 08:44:18,PosAja
Pengguna Google,1,Aplikasi apaan tidak jelas hapus aja dari app store,2024-01-07 00:59:24,PosAja
Pengguna Google,5,Aplikasi PosAja sangat membantu sekali untuk bisnis saya terimakasih,2024-01-06 21:53:59,PosAja
Pengguna Google,1,login susah apa serba susah,2024-01-06 00:35:32,PosAja
Pengguna Google,5,baguss oke 👍👌,2024-01-05 14:30:57,PosAja
Pengguna Google,1,"Ribett lama loding nya. Ngabisin kuota, udh install. Terus pake menginstal. Leletttt nya minta ampun. Ngabisin kuota, ngurangi batre. Mohon di percanggih lagi, soalnya hp saya sudah 16/ 124 GB. Oppo",2024-01-05 02:20:36,PosAja
Pengguna Google,5,Cocok untuk ngirim ke pelosok plosok,2024-01-03 12:54:26,PosAja
Pengguna Google,1,Asuransi nya ga bisa buat keterlambatan paket. Dan estimasi pos ekspor 4-8 hari itu nggak bener. Di kompalin gamau. Pos ekspor juga pake pihak ketiga. Buka pos yg ngirim. Sekian...,2024-01-03 10:50:15,PosAja
Pengguna Google,5,Tetap semangat,2024-01-02 20:34:23,PosAja
Pengguna Google,1,Aplikasi buruk yg sering error,2024-01-01 16:32:39,PosAja
Pengguna Google,5,"selama pakai posAja lancar , input data juga mudah, paket diterima saldo langsung masuk ke POSPAY",2024-01-01 09:02:29,PosAja
Pengguna Google,1,"Ekspedisi terburuk di dunia,saya kirim barang sistem cod bukannya untung malah rugi,mulai detik ini saya tidak akan pakai jasa pos dan tidak saya rekomendasikan pos aja ke semua orang,ongkirnya gila lebih mahal dari ongkir jasa pengiriman lain tujuan keluar negeri,dengan berat 3,3 kg tujuan Denpasar Bali ongkirny Rp 352.000 barang di retur pula, kantor pos kecamatan winong kabupaten Pati provinsi Jawa Tengah",2023-12-31 17:26:35,PosAja
Pengguna Google,5,Bagus pengiriman nya via Kantor dengan adanya aplikasi pos aja. Thanks,2023-12-31 11:02:38,PosAja
Pengguna Google,1,Sudah bilang paket di rektur karena kena tipu eh paketnya malah di kirim ke penipunya .sudah di tanya ngisi data apa aja kalau di rektur cuman tanya resi eh waktu komplen malah ngeles katanya gak nglapor,2023-12-30 19:22:20,PosAja
Pengguna Google,1,Baru download udh di suruh update lgi,2023-12-30 09:59:34,PosAja
Pengguna Google,5,Suka banget.,2023-12-29 11:42:51,PosAja
Pengguna Google,1,Apk yang membinggungkan.. baru mau daftar dapat kode verifikasi tapi selalu gagal dengan alasan kode tidak valid. auto saya uninstal lah!!! thx,2023-12-29 03:38:40,PosAja
Pengguna Google,5,Baik,2023-12-27 10:31:55,PosAja
Pengguna Google,5,Selalu puas,2023-12-26 19:05:35,PosAja
Pengguna Google,5,sangat puas...mantaaap....akan lebih mantap lagi di kasih kalau bisa kasih cashback setiap kirim paket😁,2023-12-25 11:23:34,PosAja
Pengguna Google,1,Mau login g bisa klo gini males mau pke pos,2023-12-25 10:30:08,PosAja
Pengguna Google,5,"Download ini cuma mau kasih review ,pengiriman cepat,barang aman sampai tujuan. Ayo pakai pos apalagi untuk kalian yang jualan bisa menaikan bintang ditoko online mu",2023-12-24 16:26:12,PosAja
Pengguna Google,5,Pos semakin mantapp,2023-12-23 13:35:23,PosAja
Pengguna Google,1,Verifikasi dari nomor hp untuk pembuatan akun error,2023-12-23 02:32:45,PosAja
Pengguna Google,5,Baru download,2023-12-22 19:55:09,PosAja
Pengguna Google,1,App g jls,2023-12-22 13:57:19,PosAja
Pengguna Google,3,Sekarang lebih sering muncul. Ooops! Infernal server error Kalau selisih ngentri 1 hari udah ada peringatan sperti itu,2023-12-22 08:55:45,PosAja
Pengguna Google,5,Praktis,2023-12-21 11:05:51,PosAja
Pengguna Google,2,"Saya ksh bintang 2 dulu, karena paket dokumen yg saya tunggu hampir 2 hari blm sampai,pdhl yg next-day yg estimasinya cm 1 hari sampai.",2023-12-20 17:32:53,PosAja
Pengguna Google,5,Melayani keseluruhan pelosok Nusantara,2023-12-20 15:17:22,PosAja
Pengguna Google,5,mantap,2023-12-19 18:14:07,PosAja
Pengguna Google,1,"Kalah sama tiki dan JNE,payah",2023-12-18 14:07:50,PosAja
Pengguna Google,5,"Suka, aman dan tepat waktu",2023-12-16 08:23:35,PosAja
Pengguna Google,5,Pengiriman sangat cepat,2023-12-16 07:04:03,PosAja
Pengguna Google,1,"Aplikasknya tidak jelas, saya registrasi lalu memasukan nomor untuk mendapatkan kode setelah sudah mendapatkan kode, kodenya tidak valid aneh banget. Bagaimana mau pakai aplikasinya jika baru registrasi saja tidak bisa. Huh tidak jelas",2023-12-16 06:41:43,PosAja
Pengguna Google,5,Bagus,2023-12-14 09:24:27,PosAja
Pengguna Google,5,gagah pake pos aja sekarang mah,2023-12-12 13:51:04,PosAja
Pengguna Google,5,jos,2023-12-12 07:42:24,PosAja
Pengguna Google,1,"Cz gakjelas di chat suruh kirim ss, sudah dikirim eh chat diakhiri sepihak, yang ke dua bukti komplit eh cz tidak membalas sama sekali",2023-12-10 09:47:10,PosAja
Pengguna Google,5,Sangat cepat dan akurat dapat dipercaya untuk berbagai keperluanaka Posindonesia paling the BEST,2023-12-10 04:11:05,PosAja
Pengguna Google,5,Ok,2023-12-09 22:19:34,PosAja
Pengguna Google,1,Kecewa dgn kantor pos. Kerja nya lambat,2023-12-09 13:48:38,PosAja
Pengguna Google,5,Mudah penggunaannya,2023-12-09 02:10:34,PosAja
Pengguna Google,4,seharusnya aplikasi satu aja buat transaksi,2023-12-08 08:01:23,PosAja
Pengguna Google,5,Heheh,2023-12-07 18:58:00,PosAja
Pengguna Google,1,Layanan yang sangat mengecewakan. Rating ini akab saya ubah setelah ada solusi yang diberikan.,2023-12-07 18:44:17,PosAja
Pengguna Google,2,Sudah ikuti petunjuknya sudah hubungkan dengan no rekening tapi nomor rekening tidak di temukan eh maksudnya...? Aneh,2023-12-07 08:25:50,PosAja
Pengguna Google,5,baik,2023-12-06 08:22:45,PosAja
Pengguna Google,1,"Baru mau daftar aja, nunggu kode verifikasi lama banget. Setelah muncul kodenya, malah kodenya invalid. Lah gimana mau masuk, daftar aja susah. Padahal kode ya dari si pos. Tapi kok bisa-bisanya invalid.",2023-12-06 01:05:47,PosAja
Pengguna Google,2,Kenapa 1 bulan ini aplikasinya gk bisa dibuka?,2023-12-05 18:09:58,PosAja
Pengguna Google,1,Ribet kalau login pakai web adanya transaksi harian dan data kemarin tidak ada. Adanya di hp itu pun riwayat harus nyari satu2,2023-12-05 14:37:02,PosAja
Pengguna Google,5,lebih baik dari mile,2023-12-05 11:16:03,PosAja
Pengguna Google,1,"Tolong di perbaiki pihak pos, sy kirim barang pakai yg paling cepet, bayar nya pun lmyan mahal, kata nya paling cepet 2 hari, paling lama 4 hari, ini sdah 7 hari paket belum sampe2, mngkn ini di antara alasan orang2 sdh malas pakai jasa pos",2023-12-05 08:31:24,PosAja
Pengguna Google,5,Good job,2023-12-04 15:23:33,PosAja
Pengguna Google,1,"Mau order failed terus,bahkan udah registrasi lengkap,nembahin rekening juga gak bisa,",2023-12-02 17:30:29,PosAja
Pengguna Google,5,"aplikasi bagus, sangat membantu.. terima kasih..",2023-12-01 15:01:49,PosAja
Pengguna Google,5,Suka,2023-12-01 14:15:03,PosAja
Pengguna Google,5,Sangat membantu bagi kami UMKM 1 poind sama dengan 1.000 rupiah..alhamdulillah 1000 poind jafi 1.000.000.😍..makasih POSajah,2023-12-01 11:00:04,PosAja
Pengguna Google,1,"Saya sangat kecewa kirim paket penting estimasi 3hari ini sampai 15hari itu juga di komplain dulu baru di proses dah lama di bidang pake tapi ga berbenah dengan baik saya sangat kecewa Ini lg bayar pke Qris dah brehasil tpi apa sistemnya eror baru seumur"" pke eror",2023-11-30 09:27:41,PosAja
Pengguna Google,5,Pos makin mantap aja,2023-11-30 07:41:57,PosAja
Pengguna Google,2,Mau registrasi gax bisa. Kode tidak valid. Lahh gimana dah. Sana yg kirim kode kok gax valid. Udah d coba ber Xx tetep gx bisa.,2023-11-30 07:01:05,PosAja
Pengguna Google,5,Murah dan cepat,2023-11-30 04:36:19,PosAja
Pengguna Google,1,Apk nya sering gabisa dibuka padahal gaada gangguan dari pusatnya,2023-11-29 12:20:33,PosAja
Pengguna Google,2,Ekspedisinya semakin kesini semakin lambat!! Udah 2 hari paket saya gagal kirim dengan keterangan (RUMAH KOSONG - ANTAR ULANG) padahal saya dirumah aja nunggu paket sampai haduhh!!,2023-11-28 18:42:23,PosAja
Pengguna Google,5,"Sangat bagus Aplikasinya,,saya sangat terbantu,,cepat dan akurat",2023-11-28 10:41:22,PosAja
Pengguna Google,5,Mempermudah pengiriman,2023-11-27 21:51:41,PosAja
Pengguna Google,1,makin buruk aja fitur pengiriman nya setelah di perbahurui udh gabisa pembayaran cod mlh di arahin ke virtual account .tolong di perbaiki lagi seperti semula,2023-11-27 20:57:08,PosAja
Pengguna Google,5,"Semakin mudah,dalam proses pengiriman paket",2023-11-27 19:12:47,PosAja
Pengguna Google,5,sangat puas,2023-11-27 16:02:53,PosAja
Pengguna Google,5,Kiriman kargo blm ada?,2023-11-27 11:28:28,PosAja
Pengguna Google,5,"alert fee tidak ditemukan, cuma bisa cek tarif aja, maksdnya bagaimana?",2023-11-27 10:07:59,PosAja
Pengguna Google,5,bagus,2023-11-26 14:43:37,PosAja
Pengguna Google,1,"Point udah g bisa digunakan, awalnya aja 1 point jadi rp. 1000. Sekarang pointku udah 508 tp tidak bisa digunakan🤦",2023-11-24 18:48:04,PosAja
Pengguna Google,5,posaja juara cepet banget sampai nya,2023-11-24 16:46:17,PosAja
Pengguna Google,1,"Masukin kode verifikasi masa gagal terus, padahal udah bener",2023-11-24 05:07:32,PosAja
Pengguna Google,5,sngt membantu,2023-11-23 22:29:47,PosAja
Pengguna Google,5,Sangat membantu,2023-11-23 16:55:06,PosAja
Pengguna Google,3,sering error,2023-11-22 13:28:24,PosAja
Pengguna Google,5,Mantap,2023-11-21 21:00:51,PosAja
Pengguna Google,5,Mudah dan simple,2023-11-21 11:18:40,PosAja
Pengguna Google,1,"Aplikasinya tolong donggg, parah mau pilih pembayaran aja susah bgt di klik, gak muncul² nomer virtual account ny, giliran di back malah ilang kode pembayaran nya ga bisa diliat lagi, di cancel point ga kembali, booking ulang point ny uda ilang, tolong aplikasi ny diperbaiki",2023-11-20 17:26:35,PosAja
Pengguna Google,1,Gak bisa di tracking,2023-11-20 11:50:16,PosAja
Pengguna Google,5,Pos aja karena dekat tempat tinggal jadi mudah untuk pengiriman paket dll,2023-11-19 17:24:58,PosAja
Pengguna Google,1,lelet kek keong,2023-11-19 15:36:37,PosAja
Pengguna Google,1,Ribet,2023-11-16 20:06:39,PosAja
Pengguna Google,1,Apk ngak tolol,2023-11-16 17:10:53,PosAja
Pengguna Google,5,Pelayanan nya sangat ramah...ketika registrasi pospay dan posaja dibantu dikawal pegawai nya... terimakasih bu/pak pos .. mudah mudahan selalu prima dalam perjalanan nya.. Aamiin,2023-11-16 12:36:29,PosAja
Pengguna Google,1,"Ga guna kode verif sdh bener, gagal trus",2023-11-16 06:34:09,PosAja
Pengguna Google,5,Ok,2023-11-15 14:38:33,PosAja
Pengguna Google,2,Yah emang gak kaget...beginilah kalau setengah2... B*MN,2023-11-15 06:25:49,PosAja
Pengguna Google,4,Nice,2023-11-14 23:04:52,PosAja
Pengguna Google,1,Mohon untuk paket terkendala di infokan dong jangan tiba2 datang return,2023-11-14 15:55:45,PosAja
Pengguna Google,1,"Ga guna bener makek pos, sistem jelek pengiriman barang lambat, traking barang juga gak bisa bisa barang udah di kirim seminggu lebih ga sampeh sampeh dari skrng, di traking udah sampeh kota tujuan dari tangal berapa belom ada kabar dari pos nya sistemnya bobrok",2023-11-14 09:49:19,PosAja
Pengguna Google,5,Mantap selalu di hati,2023-11-13 19:42:59,PosAja
Pengguna Google,2,Pertama masuk harus register data komplit. Ujungnya tidak bisa dipakai karena area belum ada 'Pickup' disuruh 'Dropoff' ke unit terdekat. Giliran mau keluar app tidak bisa. Saya mau hapus data saya. Tolong gimana caranya?,2023-11-13 16:33:03,PosAja
Pengguna Google,5,Kirim lewat pos enak di saya kalau dapat kiriman selalu di beri tau salut sama po aja,2023-11-13 13:57:29,PosAja
Pengguna Google,5,The master,2023-11-13 08:56:18,PosAja
Pengguna Google,5,terimakasih telah membantu,2023-11-11 10:30:48,PosAja
Pengguna Google,1,"Setiap kali input kode verifikasi 4 digit, hasilnya verifikasi gagal",2023-11-11 06:45:33,PosAja
Pengguna Google,5,Bagus,2023-11-10 08:20:46,PosAja
Pengguna Google,1,"Aplikasi ga jelas, daftarnya aja ribet Padahal kode verifikasi sudah betul. Malah dbilang tidak valid. Buang buang kuota aja",2023-11-10 06:37:04,PosAja
Pengguna Google,5,Mau daftar akun tapi jawabannya selalu kode verifikasi salah padahal sudah benar,2023-11-09 06:43:58,PosAja
Pengguna Google,5,"Sudah menjadi langganan karena servicenya super mantap, kirim paket ke Yogyakarta cuma sehari sampai padahal pakai tarif regular.",2023-11-08 18:20:47,PosAja
Pengguna Google,1,Pak tak guna,2023-11-08 14:37:15,PosAja
Pengguna Google,1,"susah untuk pick up, padahal sangat membantu. sebelumnya masih bisa pick up, eh kemudian sdh tdk bisa lagi, di tanya cs nya blg area saya terlalu jauh, klo mau pick up harus bayar kurir dr pos utk ambil di rumah, bayar bensinnya 20rb. waduh,berat juga.. mau kasih ongkir brp sama custumer klo mintanya byk gitu. kenapa sblmnya masih bisa, skrg mgkn sdh di matiin jasa pick up area saya. Semoga kedepannya POS AJA bisa sampe area saya🙏",2023-11-08 13:47:22,PosAja
Pengguna Google,1,"Waktu memasukkan kode Verifikasi untuk daftar selalu ""verifikasi kode tidak valid"" Aplikasi apaan nih 🤣🤣🤣",2023-11-08 05:03:05,PosAja
Pengguna Google,5,Sangat membantu kelancaran order paket tanpa keluar rumah,2023-11-07 21:45:44,PosAja
Pengguna Google,5,Apiiiik tenan bosku,2023-11-07 15:29:55,PosAja
Pengguna Google,5,Cara mudah kirim paket,2023-11-07 14:43:40,PosAja
Pengguna Google,5,Bagus cepat,2023-11-07 10:55:52,PosAja
Pengguna Google,5,POS AJA cepat.dan ongkir nya murah,2023-11-06 20:31:45,PosAja
Pengguna Google,1,"kirim paket pake express eh pas minta retur malah nunggu 3 hari lebih hadeehhhh.... buang2 waktu aja kirim lewat pos, dijanjiin sama adminnya yg katanya sore bakalan dateng,sore bakalan dateng ditungguin ga ada kabar masalah returnya haduh nyesel pake pos",2023-10-29 18:26:22,PosAja
Pengguna Google,5,"Amat sangat membantu untuk hal COD, tapi kecepatan pengiriman belum merata sepertinya .. ada yang sangat sat set 👍👍",2023-10-29 12:47:52,PosAja
Pengguna Google,5,V.good,2023-10-28 20:00:49,PosAja
Pengguna Google,5,"Pos ekspedisi paling keren, yang Swasta pada ga bener kerjanya",2023-10-28 18:58:23,PosAja
Pengguna Google,5,Saya menyukai Aplikasi PosAja!,2023-10-28 18:15:13,PosAja
Pengguna Google,2,"Maaf rating saya jelek, bukan masalah aplikasinya melainkan professionalisme pegawai pos yang sembarangan. Saya kirim paket berkas dalam amplop, sampai lokasi diberi kabar bahwa berkas saya ketumpahan minyak bumbu masakan jadi di dalam rusak.",2023-10-28 17:57:52,PosAja
Pengguna Google,5,"Pos sekarang sdh bagus, teruslah lebih ditingkatkan lagi",2023-10-28 14:19:41,PosAja
Pengguna Google,5,Alhmdulillah kerjasama yg baik,2023-10-28 12:36:55,PosAja
Pengguna Google,1,"Aplikasi apa an kirim kan kode verifikasi selalu gagal tidak valid, call senter juga g bisa di klik di hubungi, nyesel gua download",2023-10-28 01:42:04,PosAja
Pengguna Google,1,Payah,2023-10-27 22:03:57,PosAja
Pengguna Google,1,Informasi posisi paket ngga jelas,2023-10-27 15:42:43,PosAja
Pengguna Google,1,daftar lalu menerima wa pas di masukin code nya invalid terus sudah 5 kali gagal terpaksa Uinstal lagi,2023-10-27 00:52:16,PosAja
Pengguna Google,5,Bagus,2023-10-26 19:52:54,PosAja
Pengguna Google,4,Lumayan,2023-10-25 18:00:49,PosAja
Pengguna Google,5,👍👍,2023-10-25 14:24:56,PosAja
Pengguna Google,2,"Keluhan, tidak bisa di download padahal jaringan normal 🤣",2023-10-24 20:47:56,PosAja
Pengguna Google,5,Jos,2023-10-24 09:23:13,PosAja
Pengguna Google,1,"DI PERBARUI MALAH TAMBAH JELEK APLIKASINYA. BAYAR AJA PAKE VIRTUAL AKUN. MAU KLIK PILIHAN BANK YANG LAIN GABISA DIKLIK APAPUN. APLIKASI PAYAH!! UPDATE DOANG TAPI BUKANYA MEMBANTU MALAH BIKIN SUSAH KALO SEKIRANYA BELUM MAMPU DENGAN FITUR"" CANGGIH JANGAN DI PERBARUI DULU. BIKIN PEMAKAI NYA JADI BINGUNG!!!!!HUFT",2023-10-23 17:52:36,PosAja
Pengguna Google,5,sangat membantu,2023-10-23 12:26:02,PosAja
Pengguna Google,1,Layanan jasa pengiriman terburuk yang pernah saya coba,2023-10-23 10:57:31,PosAja
Pengguna Google,5,"Yes, jaga konsistensi peningkatannya",2023-10-23 04:58:32,PosAja
Pengguna Google,5,Aman terpercaya. Tepat waktu Trimakasih pos aja,2023-10-22 15:36:34,PosAja
Pengguna Google,1,"Pegawainya ga niat ngirim, tw² dh dikembaliin ke asal pengirimnya. Ga ada niat untuk telp/wa ke penerima. Pelayanan ga maksimal banget. Biarin lah kl hilang, ikhlas aj saya. Ga seberapa barang saya",2023-10-22 14:39:45,PosAja
Pengguna Google,1,Aplikasi Ribet ..untuk pengecekan Paket tidak terdapat Histori,2023-10-21 19:46:56,PosAja
Pengguna Google,1,"Pengiriman lemot , xpress msak smpek 4hari gak kayak sbelah 2 hari kurang aja udah nyampek , praha banget",2023-10-20 16:34:25,PosAja
Pengguna Google,5,"Dgn aplikasi POS Aja , pengiriman barang ke tempat tujuan dapat dimonitor oleh pengirim nya. Disertai pula detail dan buktinya bahwa barang telah diterima.",2023-10-20 16:00:44,PosAja
Pengguna Google,5,Cepat.. tepat.. mantap..,2023-10-20 13:58:28,PosAja
Pengguna Google,2,"Poin gak bisa dipakai, cuman PHP tok, tombol gunakan poin gak pernah bisa di klik cuman jadi pajangan doank, cuma jadi iming iming 🥱",2023-10-19 13:04:27,PosAja
Pengguna Google,1,Kode otp selalu salah padahal bener,2023-10-19 06:18:26,PosAja
Pengguna Google,1,"Jujur saja aplikasi pos sangat lama, saya kirim stnk di signal belum di proses untuk dikirim. Lama sekali. Sangat layak diberikan bintang 1",2023-10-18 18:04:40,PosAja
Pengguna Google,5,Mantap pelayanan nya,2023-10-18 17:52:21,PosAja
Pengguna Google,5,asli mantap. cepat.,2023-10-18 17:25:17,PosAja
Pengguna Google,2,"tidak asik seperti pertama kali,pembayaran cash di fitur pickup ditiadakan,padahal seharus bisa dipadukan gunakan point sebagai potongan ongkir,tidak seperti skrg harus pembayaran VA & Qrish dan setelah masukin kode booking di loket pos tidak bisa bekerja dgn baik (kadang gagal entri)",2023-10-18 16:51:06,PosAja
